Country,State,Year,Coal Category,Coal Supplying Company Name,Coal Supplyling Sector,Coal Type,Coal Supplied (UOM:t(Tonnes))
India,Rajasthan,2019,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.305
India,Madhya Pradesh,2017,COAL,WCL,CIL,COOKING,0.13
India,Jharkhand,2012,COAL,BCCL,CIL,NON-COOKING,2.957
India,Madhya Pradesh,2013,COAL,WCL,CIL,COOKING,0.33
India,Rajasthan,2012,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.843
India,Meghalaya,2012,COAL,MEG,PRIVATE,NON-COOKING,7.206
India,Arunachal Pradesh,2013,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.073
India,Madhya Pradesh,2014,COAL,WCL,CIL,NON-COOKING,5.305
India,Gujarat,2019,LIGNITE,GHCL,PRIVATE,LIGNITE,0.093
India,Madhya Pradesh,2017,COAL,SECL,CIL,NON-COOKING,11.93
India,Jharkhand,2020,COAL,BCCL,CIL,COOKING,25.801
India,Jharkhand,2011,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COOKING,8.031
India,Odisha,2015,COAL,HIL,PRIVATE,NON-COOKING,2.248
India,Rajasthan,2014,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.89
India,Rajasthan,2019,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,5.845
India,Chhattisgarh,2019,COAL,SECL,CIL,NON-COOKING,144.504
India,Jammu And Kashmir,2020,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.013693808
India,Jharkhand,2019,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.003
India,Maharashtra,2011,COAL,KECML/KEMTA,PRIVATE,NON-COOKING,2.275
India,Jharkhand,2020,COAL,ECL,CIL,NON-COOKING,21.21
India,Jharkhand,2020,COAL,NTPC,OTHER PUBLIC,NON-COOKING,9.421
India,Assam,2013,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.605
India,Gujarat,2016,LIGNITE,GHCL,PRIVATE,LIGNITE,0.092
India,Gujarat,2015,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,8.7
India,Jharkhand,2012,COAL,ECL,CIL,NON-COOKING,14.209
India,Madhya Pradesh,2019,COAL,SECL,CIL,NON-COOKING,12.598
India,Jharkhand,2019,COAL,CCL,CIL,NON-COOKING,59.381
India,Jharkhand,2015,COAL,BCCL,CIL,COOKING,30.194
India,Ladakh,2011,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.000524901
India,Chhattisgarh,2012,COAL,SECL,CIL,NON-COOKING,99.416
India,Jharkhand,2014,COAL,ECL,CIL,COOKING,0.038
India,Madhya Pradesh,2016,COAL,WCL,CIL,NON-COOKING,6.42
India,Gujarat,2014,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,8.398
India,Chhattisgarh,2020,COAL,AMBUJA,PRIVATE,NON-COOKING,0.4
India,Chhattisgarh,2017,COAL,BALCO,PRIVATE,NON-COOKING,0.18
India,Chhattisgarh,2014,COAL,PIL,PRIVATE,NON-COOKING,1
India,Rajasthan,2017,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.41
India,Chhattisgarh,2016,COAL,SECL,CIL,COOKING,0.135
India,Assam,2019,COAL,NEC,CIL,NON-COOKING,0.784
India,Madhya Pradesh,2012,COAL,SECL,CIL,NON-COOKING,14.232
India,Meghalaya,2014,COAL,MEG,PRIVATE,NON-COOKING,5.732
India,Chhattisgarh,2020,COAL,HIL,PRIVATE,COOKING,0
India,Jharkhand,2013,COAL,UML,PRIVATE,NON-COOKING,0.56
India,Chhattisgarh,2015,COAL,SECL,CIL,COOKING,0.126
India,Rajasthan,2013,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,3.5
